analysis_block,threshold,row_type,strategy_or_contrast,alerts_n_or_difference,events_captured_n_or_difference,alert_rate_95CI,sensitivity_95CI,PPV_95CI,false_positives_per_1000_95CI,alerts_per_event_95CI,net_benefit_95CI,analysis_label
Stage-2 fixed threshold,0.15,strategy,LM5 common-18,"2,711",889,0.378 (0.366 to 0.389),0.636 (0.610 to 0.662),0.328 (0.310 to 0.345),253.9 (243.7 to 264.2),3.05 (2.90 to 3.22),0.079 (0.071 to 0.087),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,Early mean MAP model,"4,395","1,150",0.612 (0.601 to 0.624),0.823 (0.801 to 0.843),0.262 (0.249 to 0.274),452.1 (440.3 to 463.7),3.82 (3.64 to 4.02),0.080 (0.071 to 0.090),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,strategy,Landmark MAP <65 rule,"2,268",796,0.316 (0.305 to 0.327),0.569 (0.542 to 0.595),0.351 (0.331 to 0.370),205.1 (196.0 to 214.6),2.85 (2.70 to 3.02),0.075 (0.067 to 0.082),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,paired difference,LM5 minus early mean MAP,"-1,684",-261,-0.235 (-0.246 to -0.224),-0.187 (-0.208 to -0.164),0.066 (0.056 to 0.077),-198.3 (-208.4 to -188.4),-0.77 (-0.88 to -0.66),-0.001 (-0.006 to 0.004),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,paired difference,LM5 minus landmark MAP <65,+443,+93,0.062 (0.056 to 0.068),0.067 (0.052 to 0.082),-0.023 (-0.031 to -0.015),48.8 (43.5 to 54.2),0.20 (0.13 to 0.26),0.004 (0.001 to 0.007),post-U0 exploratory current-state benchmark
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + LM5,"4,129","1,739",0.480 (0.470 to 0.491),0.774 (0.755 to 0.791),0.421 (0.406 to 0.436),278.1 (268.6 to 287.0),2.37 (2.29 to 2.46),0.153 (0.144 to 0.162),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + early mean MAP,"5,813","2,000",0.676 (0.667 to 0.686),0.890 (0.876 to 0.903),0.344 (0.332 to 0.356),443.6 (433.3 to 453.8),2.91 (2.81 to 3.01),0.154 (0.145 to 0.164),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,strategy,Severe early burden + landmark MAP <65,"3,686","1,646",0.429 (0.418 to 0.439),0.732 (0.714 to 0.750),0.447 (0.431 to 0.463),237.3 (228.2 to 246.3),2.24 (2.16 to 2.32),0.150 (0.141 to 0.159),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus early mean MAP,"-1,684",-261,-0.196 (-0.206 to -0.187),-0.116 (-0.130 to -0.103),0.077 (0.070 to 0.085),-165.6 (-173.8 to -157.1),-0.53 (-0.58 to -0.48),-0.001 (-0.005 to 0.003),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus landmark MAP <65,+443,+93,0.052 (0.046 to 0.057),0.041 (0.033 to 0.051),-0.025 (-0.031 to -0.020),40.7 (36.3 to 45.0),0.13 (0.11 to 0.16),0.004 (0.001 to 0.006),post-U0 exploratory full-workflow comparison
Current-state matched alert workload,,strategy,LM5 common-18,"2,268",795,0.316 (matched workload),0.569 (0.542 to 0.594),0.351 (0.331 to 0.369),205.2 (195.8 to 215.0),2.85 (2.71 to 3.02),Not applicable,post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,,strategy,Early mean MAP model,"2,268",769,0.316 (matched workload),0.550 (0.523 to 0.576),0.339 (0.320 to 0.358),208.9 (199.7 to 218.5),2.95 (2.79 to 3.13),Not applicable,post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,,strategy,Landmark MAP <65 rule,"2,268",796,0.316 (matched workload),0.569 (0.543 to 0.595),0.351 (0.331 to 0.371),205.1 (195.9 to 214.9),2.85 (2.70 to 3.02),Not applicable,post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,,paired difference,LM5 minus early mean MAP,+0,+26,0.000 (matched workload),0.019 (0.001 to 0.036),0.011 (0.000 to 0.022),-3.6 (-7.1 to -0.1),-0.10 (-0.19 to -0.00),Not applicable,post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
Current-state matched alert workload,,paired difference,LM5 minus landmark MAP <65,+0,-1,0.000 (matched workload),-0.001 (-0.014 to 0.012),-0.000 (-0.009 to 0.007),0.1 (-2.2 to 2.8),0.00 (-0.06 to 0.07),Not applicable,post-U0 exploratory; alert capacity recomputed in each bootstrap; net benefit not defined for top-k selection
